artist_name,wiki_nationality,wiki_artist_start_date
AMERICAN AUTHORS,Unknown,2006-01-01
MARK RONSON feat. MILEY CYRUS,Unknown,
MARSHMELLO FEAT. JONAS BROTHERS,Unknown,
RICHIE CAMPBELL feat. GSON,Unknown,
BRUNO MARS feat. CARDI B.,Unknown,
MAGIC!,Unknown,
ARIANA GRANDE & JUSTIN BIEBER,Unknown,
MATIAS DAMÁSIO [+] HEBER,Angola,2000-01-01
"ZACK BRYAN, KACEY MUSGRAVES",United States,2001-01-01
UNCLE KRACKER,United States,1987-01-01
ANDA PACHECO,United States,1998-01-01
RASMUS,Unknown,
CIAN DUCROT.,Ireland,1997-01-01
ROBBIE WILLIAMS,United Kingdom,1990-01-01
PANIC AT THE DISCO,Unknown,2004-01-01
"MILEY CYRUS, DUA LIPA",Unknown,
SALVADOR SEIXAS,Brazil,1963-01-01
QUATRO E MEIA,Unknown,
BÁRBARA BANDEIRA FT. CARMINHO,Unknown,
Manuel Turizo ,Colombia,2016-01-01
FloyyMenor ,Chile,2005-01-01
MUSE,Unknown,
TEDDY SWIMS feat. GIVEON,Unknown,
GESAFFELSTEIN & THE WEEKEND,Canada,2009-01-01
GEORGE EZRA,United Kingdom,2011-01-01
IVO LUCAS,Unknown,
STEPHEN SANCHEZ,United States,2019-01-01
DENGAZ,Portugal,1998-01-01
"ED SHEERAN, JUSTIN BIEBER",Unknown,
CAPITAO FAUSTO,Unknown,2009-01-01
KT TUNSTALL,United Kingdom,2000-01-01
CAROLINA DESLANDES FT. RUI VELOSO,Unknown,
JOHN MAYER,United States,1998-01-01
"JUNG KOOK, LATTO",Unknown,
t-rex ,Unknown,
TRAVIS,Unknown,
5 SECONDS OF SUMMER,Unknown,2011-01-01
LP,Unknown,
Mickael Carreira ,Portugal,2006-01-01
"CHARLIE PUTH, SELENA GOMES",United States,2002-01-01
AITANA,Unknown,
LINKIN PARK,Unknown,1996-01-01
KINGS OF LEON,Unknown,2000-01-01
"MARK RONSON, BRUNO MARS",Unknown,
BRANDI CARLILE,United States,2004-01-01
GRIFF,Unknown,
nelly furtado,Canada,1996-01-01
GAYLE,Unknown,
FIFTH HARMONY feat. TY DOLLA $IGN,Unknown,
JULIA MICHAELS,United States,2010-01-01
DERMOT KENNEDY,Ireland,2015-01-01
ALEC BENJAMIN,United States,2013-01-01
OWL CITY,Unknown,2007-01-01
TOM WALKER,Unknown,
XUTOS & PONTAPÉS,Unknown,1978-01-01
KALEO,Unknown,2012-01-01
"Estelle, Kanye West",United Kingdom,2004-01-01
LANA DEL REY [+] CEDRIC GERVAIS,Unknown,
THE CALLING,Unknown,
RED HOT CHILI PEPPERS,Unknown,1982-01-01
"Vários: Homenagem RC a Rui Veloso, Rádio Comercial",Unknown,
SEXYY RED & BRUNO MARS,United States,2018-01-01
INCUBUS,Unknown,
MATCHBOX 20,Unknown,1995-01-01
PORTUGAL THE MAN,Unknown,2004-01-01
Djo ,Unknown,
Tracy Chapman,United States,1986-01-01
LUKE COMBS,United States,2014-01-01
THIRTY SECONDS TO MARS,Unknown,1998-01-01
PAUL RUSSELL,United States,1997-01-01
Kid Ink ,United States,2005-01-01
Los Legendarios ,Unknown,
REM,Unknown,
GIVÉON,United States,2018-01-01
"TEDDY SWIMS, GIVEON",Unknown,
bruno mars,United States,2004-01-01
Guaynaa ,United States,2017-01-01
9 Miller ,United States,1994-10-09
Lele Pons ,Venezuela,2013-01-01
Dua Lipa ,United Kingdom,2014-01-01
Deixem o Pimba em Paz,Unknown,
V,Unknown,
J. BALVIN,Colombia,2007-01-01
FOO FIGHTERS,Unknown,1994-01-01
POLICE,Unknown,
"GNR, Isabel Silvestre",Unknown,
Sinead O'Connor,Ireland,1986-01-01
"Diogo Piçarra, Carolina Deslandes",Unknown,
STROMAE & POMME,France,2015-01-01
OS QUARTO E MEIA,Portugal,1985-01-01
"Jessie J, B.o.B.",Unknown,
Toranja,Unknown,2000-01-01
RIXTON,Unknown,2012-01-01
ANDRE AMARO,Portugal,2002-08-13
LANA DEL REY,United States,2005-01-01
Hugel ,France,1987-12-04
dengaz,Portugal,1998-01-01
MICHEL SIMONAL,Unknown,
os quatro e meia,Unknown,
PLUTÓNIO,Portugal,2000-01-01
rita rocha,Unknown,
"DUNCAN LAURANCE, FLETCHER",Unknown,
Radiohead,Unknown,1985-01-01
Marisa Monte,Brazil,1987-01-01
CUTTING CREW,Unknown,1985-01-01
"kygo, onerepublic",Norway,2009-01-01
alessia cara,Italy,2014-07-01
tate mcrae,Canada,2013-01-01
fernando daniel,Portugal,2014-01-01
kesha,United States,2005-01-01
teddy swims,United States,2011-01-01
"yandel, feid ",Unknown,
francisca borges,Brazil,1872-10-21
Notorious B.I.G. ,United States,1992-01-01
David Guetta ,France,1986-01-01
