artist_name,wiki_nationality,wiki_artist_start_date
AVICII,Sweden,2006-01-01
Rita Rocha,Unknown,
new york new york,Unknown,
"The Chainsmokers, Coldplay",Unknown,
Lauren Daigle,United States,2010-01-01
PEDRO SAMPAIO feat. MC PEDRINHO,Brazil,2012-01-01
The Gift,Unknown,
NUNO RIBEIRO FT. AINOA BUITRAGO,Unknown,
JADE,Unknown,
"Bluay, Julinho Ksd",Unknown,
"Linkin Park, Jay Z",Unknown,
"Lady Gaga, Bradley Cooper",Unknown,
THE CHAINSMOKERS [+] HALSEY,Unknown,
Lady Antebellum,Unknown,2006-01-01
CATARINA FILIPE,Brazil,2003-01-01
Farruko,United States,2007-01-01
ELTON JOHN [+] GEORGE MICHAEL,Unknown,
ELLA HENDERSON feat. RUDIMENTAL,Unknown,
Mundo Segundo ,Portugal,1994-01-01
Ana Moura,Portugal,1979-09-17
A Garota Não,Portugal,1983-10-29
SYRO,Unknown,
Juliette,Unknown,
BRUNO MARS,United States,2004-01-01
"NENA, CAROLINA DE DEUS",Unknown,
Red Hot Chili Peppers,Unknown,1982-01-01
"James Arthur, Anne-Marie",Unknown,
David Guetta,France,1986-01-01
Milly ,Australia,2000-04-11
Silk Sonic,Unknown,2021-01-01
"Nuno Ribeiro, Mariza, Calema",Unknown,
Luan Santana,Brazil,2007-01-01
Gwen Stefani,United States,1986-01-01
Cardi B,United States,2013-01-01
3 DOORS DOWN,Unknown,1996-01-01
"VEIGH, BVGA BEATZ",Unknown,
MATT SIMONS,United States,2010-01-01
"Eminem, Rihanna",Unknown,
Noah Cyrus,United States,2002-01-01
MR MISTER,Unknown,1982-01-01
Ne-Yo,United States,1998-01-01
Zé Felipe,Brazil,1998-04-21
ARIZONA ZERVAS,United States,2016-01-01
MC Livinho,Brazil,2013-01-01
Mariah Carey,United States,1989-01-01
"Nena [pt], Joana Almeirante",Unknown,
Michael Kiwanuka,United Kingdom,2011-01-01
Kate Bush,United Kingdom,1975-01-01
LADY GAGA [+] BEYONCE,Unknown,
"David Guetta, Usher",Unknown,
IÃ‘IGO QUINTERO,Unknown,
"Anavitória, Diogo Piçarra",Portugal,2006-01-01
POST MALONE feat. YOUNG THUG,Unknown,
Lisa [th],Thailand,2016-01-01
"The Script , will.i.am",Unknown,
SARA CORREIA,Portugal,1993-05-27
Shaggy,Unknown,
Black Eyed Peas,Unknown,1995-01-01
Ella Mai,United Kingdom,2014-01-01
ELTON JOHN & BRITNEY SPEARS,Unknown,
"Calvin Harris, Ellie Goulding",Unknown,
"Christopher, Griff",United Kingdom,2019-01-01
Carolina Deslandes,Portugal,1991-08-27
SOPHIE B. HAWKINS,United States,1990-01-01
DAVID CARREIRA & JULIETTE,Unknown,
Jão,Brazil,1994-11-03
Caetano Veloso,Brazil,1967-01-01
Dido,Phoenicia,
POST MALONE feat. TY DOLLA $IGN,Unknown,
TONI BRAXTON,United States,1989-01-01
"MANINHO, MARISA LIZ",Unknown,
"Jay Z, Alicia Keys",Unknown,
DOJA CAT,United States,2012-01-01
Nikolaj Grandjean,Unknown,
HAROLD,Unknown,
The Fray,Unknown,2002-01-01
CALVIN HARRIS & SAM SMITH,Unknown,
"Calvin Harris, Dua Lipa",Unknown,
