track_title,artist_name,spotify_album,spotify_release_date,spotify_duration_ms,spotify_popularity,spotify_genres
OBEAH ME,RICHIE CAMPBELL,Obeah Me,2024-03-15,148187,31,hip hop tuga
Carta [acústico],Tiago Bettencourt,Acústico,2012-01-01,294746,34,fado
Peito,HMB,+,2017-02-10,239902,28,portuguese pop
CARRY YOU HOME,ALEX WARREN,Carry You Home,2024-05-31,166880,78,gen z singer-songwriter
Lullaby,Shawn Mullins,Soul's Core,1998-04-24,329866,41,pop rock
NADA MUDA,MATHEUS PARAIZO,Nada muda,2024-07-12,146896,14,""
IDGAF,Dua Lipa,Dua Lipa (Deluxe),2017-06-02,217946,77,dance pop
DIE FOR YOU,THE WEEKND,Starboy,2016-11-24,260253,84,canadian contemporary r&b
DONT START NOW,DUA LIPA,Future Nostalgia,2020-03-27,183290,82,dance pop
ALMA NUA,VAN ZEE,do.mar,2023-12-01,205637,56,hip hop tuga
Noite,"Ivandro, Vitor Kley",Trovador,2024-02-16,206522,49,hip hop tuga
PLEASE PLEASE PLEASE,SABRINA CARPENTER,Please Please Please,2024-06-06,186365,90,pop
NEVER BE LONELY,JAX JONES & ZOE WEES,Never Be Lonely,2024-02-09,134570,68,dance pop
A Vida Toda,Carolina Deslandes,Casa,2018-04-20,246178,42,portuguese pop
HIGH HOPES,PANIC! AT THE DISCO,Pray for the Wicked,2018-06-22,190946,79,pop
SLOWLY,RICHIE CAMPBELL,Lisboa,2017-12-21,264105,40,hip hop tuga
"3,14",Sam the Kid,"3,14",2021-04-19,324763,52,hip hop tuga
COUNTING STARS,ONEREPUBLIC,Native,2013-01-01,257265,85,piano rock
In the Stars,Benson Boone,Fireworks & Rollerblades,2024-04-05,216410,81,singer-songwriter pop
Bad Habits,Ed Sheeran,=,2021-10-25,230746,80,pop
Si Antes Te Hubiera Conocido,Karol G,Si Antes Te Hubiera Conocido,2024-06-21,195824,94,reggaeton
ACORDA PEDRINHO,JOVEM DIONISIO,"Acorda, Pedrinho",2022-03-24,173085,54,indie curitibano
LOVE YOURSELF,JUSTIN BIEBER,Purpose (Deluxe),2015-11-13,233720,83,canadian pop
Sweetest Pie,Megan Thee Stallion,Traumazine,2022-08-12,201334,64,houston rap
O Tempo Vai Esperar,Os Quatro e Meia,O Tempo Vai Esperar,2020-09-25,223693,46,portuguese folk
SAIA DA CAROLINA,CAROLINA DESLANDES,CAOS,2023-03-10,157349,46,portuguese pop
Capicuas,Rita Rocha,Capicuas,2024-10-10,158733,33,""
BENÇÃO,"MIZZY MILES, VAN ZEE, BISPO",Bênção,2024-03-01,205934,62,hip hop tuga
MURDERGRAM DEUX,LL COOL J feat. EMINEM,Murdergram Deux,2024-08-30,185456,67,east coast hip hop
Planeta,"Bispo, Bárbara Tinoco",Planeta,2023-03-24,167012,56,hip hop tuga
SI ANTES TE HUBIERA CONOCIDO,KAROL G.,Si Antes Te Hubiera Conocido,2024-06-21,195824,94,reggaeton
FOR CRYIN OUT LOUD,FINNEAS,For Cryin' Out Loud!,2024-10-04,217240,69,alt z
Cupid,FIFTY FIFTY,The Beginning,2023-09-22,174116,76,k-pop girl group
Rockstar,Post Malone,beerbongs & bentleys,2018-04-27,218146,80,dfw rap
ADORE YOU,HARRY STYLES,Fine Line,2019-12-13,207133,79,pop
BURNING DOWN,ALEX WARREN,Burning Down,2024-09-20,179437,75,gen z singer-songwriter
BELONG TOGETHER,MARK AMBOR,Belong Together,2024-02-16,148317,83,singer-songwriter pop
