track_title,artist_name,spotify_album,spotify_release_date,spotify_duration_ms,spotify_popularity,spotify_genres,spotify_danceability,spotify_energy,spotify_valence,spotify_acousticness,spotify_instrumentalness,spotify_liveness,spotify_speechiness,spotify_tempo,spotify_mode,spotify_loudness,spotify_time_signature
Unfaithful,Rihanna,A Girl Like Me,2006-04-10,226973,68,barbadian pop,0.588,0.391,0.349,0.839,0.0,0.227,0.0334,144.069,0,-8.607,4
APT.,"Rosé, Bruno Mars",APT.,2024-10-18,169917,96,k-pop,0.777,0.783,0.939,0.0283,0.0,0.355,0.26,149.027,0,-4.477,4
Therefore I Am,Billie Eilish,Happier Than Ever,2021-07-30,173539,72,art pop,0.879,0.365,0.663,0.227,0.135,0.0583,0.0924,94.016,1,-7.781,4
Dani California,Red Hot Chili Peppers,Stadium Arcadium,2006-05-09,282160,76,alternative rock,0.556,0.913,0.73,0.0193,8.59e-6,0.346,0.0437,96.184,1,-2.36,4
In a little While,U2,All That You Can't Leave Behind,2000-01-01,216973,41,irish rock,0.645,0.596,0.52,0.458,0.0,0.176,0.0271,92.048,1,-7.071,4
Hey there Delilah,Plain White T's,All That We Needed,2005-01-01,232533,76,modern rock,0.658,0.291,0.295,0.872,0.0,0.114,0.0292,103.962,1,-10.572,4
Unforgettable,French Montana,Jungle Rules,2017-07-14,233901,85,hip hop,0.726,0.769,0.733,0.0293,0.0101,0.104,0.123,97.985,1,-5.043,4
As Regras da Sensatez,Rui Veloso,Avenidas,1998-01-01,219440,29,portuguese rock,0.589,0.282,0.326,0.936,0.155,0.108,0.0281,112.085,1,-10.141,4
Power Over Me,Dermot Kennedy,Dermot Kennedy,2019-01-04,206960,67,folk-pop,0.42,0.843,0.494,0.0528,0.0,0.106,0.12,173.815,0,-4.231,3
Love Again,Richie Campbell,Heartbreak & Other Stories,2023-03-17,208068,48,hip hop tuga,0.792,0.649,0.392,0.358,0.0000154,0.114,0.12,96.962,1,-8.795,4
CORACAO DE GELO,WIU,Manual de Como Amar Errado,2022-11-29,168000,66,trap brasileiro,0.732,0.671,0.836,0.124,0.0,0.128,0.082,159.907,0,-4.276,4
"QUEVEDO: BZRP MUSIC SESSIONS, VOL. 52",BIZARRAP & QUEVEDO,"Quevedo: Bzrp Music Sessions, Vol. 52",2022-07-06,198937,80,argentine hip hop,0.621,0.782,0.55,0.0125,0.033,0.23,0.044,128.033,1,-5.548,4
SENORITA,SHAWN MENDES & CAMILA CABELLO,Shawn Mendes (Deluxe),2019-06-19,190799,78,canadian pop,0.759,0.548,0.75,0.0379,0.0,0.0828,0.0289,116.963,0,-6.049,4
The Man who Can't Be Moved,The Script,The Script,2008-07-14,241373,80,celtic rock,0.605,0.629,0.308,0.437,0.0,0.097,0.0279,99.894,1,-5.051,4
PILLOWTALK,ZAYN,Mind Of Mine (Deluxe Edition),2016-03-25,202746,79,pop,0.584,0.7,0.438,0.117,0.0,0.0939,0.0456,124.944,1,-4.275,4
POCPOC,PEDRO SAMPAIO,POCPOC,2023-11-23,127384,67,funk carioca,0.837,0.636,0.857,0.239,0.0,0.0683,0.0521,129.891,0,-4.206,4
Outside,"Calvin Harris, Ellie Goulding",Motion,2014-10-31,227266,82,dance pop,0.646,0.823,0.418,0.213,0.0,0.322,0.0394,128.035,0,-4.123,4
CLOSER,THE CHAINSMOKERS feat. HALSEY,Closer,2016-07-29,244960,84,pop,0.748,0.524,0.661,0.414,0.0,0.111,0.0338,95.01,1,-5.599,4
Para Sempre [unplugged],"Dengaz, Seu Jorge",Para Sempre + Para Sempre (Unplugged),2016-11-18,233223,34,hip hop tuga,0.458,0.24,0.268,0.697,0.000446,0.118,0.053,169.815,0,-13.94,4
Foi Feitiço [acústico],André Sardet,Acústico,2006-07-01,284880,14,classic portuguese pop,0.443,0.635,0.371,0.823,0.000216,0.724,0.049,103.04,1,-9.241,4
Wake Me Up when September Ends,Green Day,American Idiot,2004-09-21,285653,77,modern rock,0.546,0.814,0.146,0.023,0.0,0.0972,0.0314,104.98,1,-5.146,4
"Tomorrow (A Better You, Better Me)","Quincy Jones, Tevin Campbell",Back On The Block,1989-01-01,286866,39,soul jazz,0.336,0.636,0.387,0.671,0.00379,0.105,0.0378,81.986,1,-6.185,4
Is It Over Now (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),2023-10-26,229477,75,pop,0.599,0.651,0.153,0.0486,0.0,0.126,0.035,100.001,1,-7.343,4
ONE EYE OPEN,MIMI WEBB,One Eye Open,2024-10-25,212994,57,alt z,0.606,0.547,0.506,0.0595,0.0,0.109,0.0582,162.951,1,-5.416,4
Creepin',Metro Boomin,HEROES & VILLAINS,2022-12-02,221520,81,rap,0.716,0.613,0.157,0.391,0.0,0.0813,0.0522,97.914,0,-6.018,4
CHAMADA NÃO ATENDIDA,BÁRBARA TINOCO,Bichinho,2023-04-21,207173,48,portuguese pop,0.578,0.34,0.152,0.851,0.0000131,0.137,0.0758,86.506,0,-9.09,4
Ouvi Dizer,Melim,Melim,2018-06-08,210889,63,mpb,0.641,0.614,0.727,0.0745,0.0,0.093,0.0532,81.011,1,-7.847,4
HALL OF FAME,THE SCRIPT [+] WILL.I.AM,#3,2012-09-10,202533,69,celtic rock,0.421,0.873,0.629,0.0654,0.0,0.123,0.0564,84.786,1,-4.343,4
Jar of Hearts,Christina Perri,lovestrong.,2011-05-10,246587,69,pop,0.349,0.348,0.0886,0.726,0.0,0.12,0.0316,74.541,1,-6.142,4
Só Gosto de Ti,Heróis do Mar,Heróis Do Mar Vol. II (1982-1984),1992-01-01,270066,36,portuguese rock,0.777,0.616,0.898,0.325,0.0601,0.0636,0.0269,97.91,1,-12.67,4
Brutos Diamantes,Syro,11 11,2023-11-11,176320,56,portuguese pop,0.597,0.568,0.591,0.601,0.0,0.111,0.0753,159.795,0,-5.747,4
Malvadão 3,Xamã,Malvadão 3,2021-11-30,141769,60,brazilian hip hop,0.821,0.609,0.516,0.378,0.0,0.136,0.268,133.133,0,-6.541,4
Home,Michael Bublé,It's Time,2005-02-07,225906,60,adult standards,0.608,0.37,0.349,0.844,0.0000187,0.112,0.0306,127.631,1,-9.207,4
YOU GIVE ME SOMETHING,JAMES MORRISON,Undiscovered,2006-01-01,212933,50,neo mellow,0.559,0.671,0.577,0.21,0.0,0.0869,0.1,79.493,1,-7.109,4
MELHOR DE MIM,MARIZA,Mundo,2016-09-09,246813,20,fado,0.752,0.377,0.337,0.657,0.0,0.0967,0.031,97.455,1,-7.804,3
OLD TOWN ROAD,LIL NAS X,7 EP,2019-06-21,157066,72,lgbtq+ hip hop,0.878,0.619,0.639,0.0533,0.0,0.113,0.102,136.041,1,-5.56,4
All the Right Moves,OneRepublic,Waking Up,2009-01-01,238000,64,piano rock,0.529,0.948,0.65,0.258,9.35e-6,0.283,0.0474,146.024,1,-3.527,4
Asas Delta,Clã,O Melhor dos Clã,2016-07-20,173080,20,portuguese rock,0.788,0.695,0.91,0.132,0.0,0.871,0.0402,117.98,1,-3.906,4
I Feel It Coming,The Weeknd,Starboy,2016-11-25,269186,75,canadian contemporary r&b,0.773,0.819,0.585,0.428,0.0,0.0679,0.118,92.987,0,-5.946,4
Onde Anda,Calema,Onde Anda (French Version),2023-01-20,177533,41,musica santomense,0.561,0.703,0.59,0.347,0.0,0.27,0.291,99.223,0,-7.707,4
Lady (Hear Me Tonight),Modjo,Modjo (Remastered),2001-01-01,307153,77,disco house,0.72,0.808,0.869,0.00793,0.0293,0.0634,0.0379,126.041,1,-5.627,4
The Monster,"Eminem, Rihanna",The Marshall Mathers LP2,2013-11-05,250188,78,detroit hip hop,0.781,0.853,0.626,0.0526,0.0,0.12,0.0714,110.046,0,-3.68,4
CREEPIN,METRO BOOMIN feat. THE WEEKND & 21 SAVAGE,Creepin' (Remix),2023-03-17,232800,51,rap,0.71,0.643,0.197,0.454,0.0,0.087,0.0724,97.931,0,-6.034,4
How You Remind Me,Nickelback,Silver Side Up,2001-09-11,223840,83,alternative metal,0.446,0.764,0.543,0.00135,0.0,0.099,0.033,172.094,1,-5.042,4
KNOCK YOU DOWN,KERI HILSON feat. KANYE WEST & NE-YO,In A Perfect World...,2009-01-01,326186,64,dance pop,0.588,0.877,0.645,0.00952,0.0,0.171,0.16,155.165,1,-4.78,4
Listen,Beyoncé,B'Day Deluxe Edition,2007-05-29,219546,54,pop,0.432,0.637,0.187,0.416,0.0,0.113,0.0475,122.394,1,-3.905,4
ONLY GIRL (IN THE WORLD),RIHANNA,Loud (Japan Version),2010-01-01,235493,82,barbadian pop,0.789,0.706,0.638,0.112,0.0000171,0.0586,0.0429,125.918,0,-4.233,4
Me Gusta,Anitta,Me Gusta (with Cardi B & Myke Towers),2020-09-18,180788,55,funk pop,0.91,0.604,0.807,0.448,0.0,0.0863,0.082,110.075,0,-4.392,4
