radio,day,time_played,track_title,artist_name
Rádio Comercial,2024-10-27,09:33:00.000000000,Ordinary Love,U2
Rádio Comercial,2024-10-27,09:29:00.000000000,Complicated,Avril Lavigne
Rádio Comercial,2024-10-27,09:24:00.000000000,Amigos Coloridos,Bandidos do Cante
Rádio Comercial,2024-10-27,09:22:00.000000000,Moonlit Floor,Lisa [th]
Rádio Comercial,2024-10-27,09:18:00.000000000,Shallow,"Lady Gaga, Bradley Cooper"
Rádio Comercial,2024-10-27,09:14:00.000000000,A Bar Song (Tipsy),Shaboozey
Rádio Comercial,2024-10-27,09:12:00.000000000,Fala-me a Verdade,"Bia Caboz, Piruka"
Rádio Comercial,2024-10-27,09:08:00.000000000,Team,Lorde
Rádio Comercial,2024-10-27,09:05:00.000000000,Heaven,Cian Ducrot
Rádio Comercial,2024-10-27,08:58:00.000000000,Até Ao Fim,Maninho
Rádio Comercial,2024-10-27,08:55:00.000000000,The Emptiness Machine,Linkin Park
Rádio Comercial,2024-10-27,08:47:00.000000000,Another Love,Tom Odell
Rádio Comercial,2024-10-27,08:44:00.000000000,Apneia,Tatiana Duarte
Rádio Comercial,2024-10-27,08:37:00.000000000,Magic,Coldplay
Rádio Comercial,2024-10-27,08:35:00.000000000,Slow It Down,Benson Boone
Rádio Comercial,2024-10-27,08:31:00.000000000,Forget Me,Lewis Capaldi
Rádio Comercial,2024-10-27,08:26:00.000000000,Devia Ir (versão da Bárbara),Bárbara Tinoco
Rádio Comercial,2024-10-27,08:22:00.000000000,Closer to the Edge,Thirty Seconds to Mars
Rádio Comercial,2024-10-27,08:18:00.000000000,Because of You,Kelly Clarkson
Rádio Comercial,2024-10-27,08:14:00.000000000,Heaven,Niall Horan
Rádio Comercial,2024-10-27,08:11:00.000000000,Os Croquetes acabam,Nena [pt]
Rádio Comercial,2024-10-27,08:07:00.000000000,Am I Wrong,Nico & Vinz
Rádio Comercial,2024-10-27,08:03:00.000000000,Die With A Smile,"Lady Gaga, Bruno Mars"
Rádio Comercial,2024-10-27,07:57:00.000000000,Birds Of A Feather,Billie Eilish
Rádio Comercial,2024-10-27,07:50:00.000000000,Before I Lose My Voice,Richie Campbell
Rádio Comercial,2024-10-27,07:47:00.000000000,Demons,Imagine Dragons
Rádio Comercial,2024-10-27,07:45:00.000000000,Tata,Slow J
Rádio Comercial,2024-10-27,07:42:00.000000000,Lucky,Halsey
Rádio Comercial,2024-10-27,07:34:00.000000000,All Good Things (Come to an End),"Nelly Furtado, Reamonn"
Rádio Comercial,2024-10-27,07:31:00.000000000,Burguesinha (ao vivo),Seu Jorge
Rádio Comercial,2024-10-27,07:28:00.000000000,Ghost Town,Benson Boone
Rádio Comercial,2024-10-27,07:22:00.000000000,Mirrors,Justin Timberlake
